crate,downloads,recent_downloads,updated_at,created_at,max_version,description,repository
algorithmica,14164,1965,2023-12-31T05:52:39.523151Z,2019-03-11T05:31:30.014114Z,0.1.10,Rust Algorithms,https://github.com/AbrarNitk/algorithmica
alg_ds,11679,1727,2020-01-21T10:11:30.938108Z,2019-06-24T07:08:32.948622Z,0.3.1,Algorithms & data structures,https://gitlab.com/dvshapkin/alg-ds
aliyun-oss-client,63756,12150,2025-03-30T08:46:27.425779Z,2022-05-21T07:25:46.250112Z,0.13.0-alpha9,an aliyun oss client,https://github.com/tu6ge/oss-rs
alloc-cortex-m,172713,15343,2022-12-20T20:29:56.019078Z,2016-11-19T15:53:55.367716Z,0.4.4,A heap allocator for Cortex-M processors,https://github.com/rust-embedded/alloc-cortex-m
alloy-json-abi,2833412,1357708,2025-04-03T09:00:32.853884Z,2023-07-04T10:26:07.575776Z,1.0.0,Full Ethereum JSON-ABI implementation,https://github.com/alloy-rs/core
alpm-rs,31739,4110,2019-02-27T22:49:06.925953Z,2019-02-20T12:47:58.766788Z,0.1.24,aplm bindings and wrapper for rust,https://github.com/BahNahNah/rust-arch/tree/master/alpm-rs
ammonia,6369234,749282,2024-03-25T15:01:35.089451Z,2015-09-04T17:50:51.795474Z,4.0.0,HTML Sanitization,https://github.com/rust-ammonia/ammonia
ansi_term,137781288,8965684,2019-09-02T10:16:04.908577Z,2014-11-26T00:50:42.101172Z,0.12.1,"Library for ANSI terminal colours and styles (bold, underline)",https://github.com/ogham/rust-ansi-term
anstream,147872173,36045582,2024-11-04T18:02:39.562359Z,2023-03-16T14:54:31.795594Z,0.6.18,A simple cross platform library for writing colored text to a terminal.,https://github.com/rust-cli/anstyle.git
anymap,5912824,318523,2022-02-22T02:55:07.137874Z,2014-11-11T06:47:41.084321Z,1.0.0-beta.2,A safe and convenient store for one value of each type,https://github.com/chris-morgan/anymap
aovec,25683,1406,2017-09-26T20:09:51.905536Z,2017-09-25T20:01:15.506993Z,1.1.0,"Append-only, concurrent vector",https://github.com/krl/aovec
appendix,18037,2008,2022-12-12T17:41:31.965547Z,2018-08-19T21:37:36.259118Z,0.2.2,"Append-only, on-disk key-value index",
arc-swap,96020814,17239596,2024-03-23T10:40:35.441856Z,2018-04-16T07:00:39.250384Z,1.7.1,Atomically swappable Arc,https://github.com/vorner/arc-swap
arenavec,3503,561,2019-07-31T20:39:27.544786Z,2019-07-30T21:12:26.814797Z,0.1.1,An arena backed implementation of vectors and related types.,https://github.com/ibabushkin/arenavec
ark-r1cs-std,1159907,93145,2024-10-28T11:37:07.810553Z,2021-03-24T22:34:10.297512Z,0.5.0,A standard library for constraint system gadgets,https://github.com/arkworks-rs/r1cs-std
arr,10752,1847,2020-09-11T03:41:43.184775Z,2020-04-11T18:40:14.027801Z,0.6.1,A heap based fixed-sized array,https://github.com/sjep/array.git
array-macro,4420869,441442,2023-11-08T14:56:38.096809Z,2017-08-01T21:16:44.208913Z,2.1.8,Array multiple elements constructor syntax,https://codeberg.org/xfix/array-macro
array-queue,9509,1329,2018-02-28T02:46:43.146356Z,2018-01-31T20:24:58.321250Z,0.3.3,Fixed size bidirectional queues based on arrays,
array-tools,12089,1872,2021-02-22T13:02:09.299230Z,2019-08-06T01:17:23.058597Z,0.3.2,A little collection of array-related utils aiming to make life easier. ,https://github.com/L117/array-tools
arrayfire,100107,5413,2021-01-10T07:24:27.409384Z,2015-11-14T03:08:36.437693Z,3.8.0,"ArrayFire is a high performance software library for parallel computing with an easy-to-use API. Its array based function set makes parallel programming simple. ArrayFire's multiple backends (CUDA, OpenCL and native CPU) make it platform independent and highly portable. A few lines of code in ArrayFire can replace dozens of lines of parallel computing code, saving you valuable time and lowering development costs. This crate provides Rust bindings for ArrayFire library.",https://github.com/arrayfire/arrayfire-rust
arrow,18517594,5247396,2025-03-30T10:39:50.212288Z,2018-03-29T04:49:37.317255Z,54.3.1,Rust implementation of Apache Arrow,https://github.com/apache/arrow-rs
arrow2,2883578,952390,2023-09-17T08:00:04.117566Z,2021-07-20T06:27:11.215997Z,0.18.0,Unofficial implementation of Apache Arrow spec in safe Rust,https://github.com/jorgecarleitao/arrow2
ascii,41804127,5346213,2022-09-18T13:04:12.231348Z,2014-11-27T14:19:59.536222Z,1.1.0,"ASCII-only equivalents to `char`, `str` and `String`.",https://github.com/tomprogrammer/rust-ascii
ash,9701916,1516561,2024-04-01T19:48:47.387199Z,2016-12-09T19:43:27.190795Z,0.38.0+1.3.281,Vulkan bindings for Rust,https://github.com/ash-rs/ash
asn1_der,5001335,373061,2023-04-06T13:04:48.803350Z,2018-04-05T15:39:14.445325Z,0.7.6,This crate provides an ASN.1-DER en-/decoder,https://github.com/KizzyCode/asn1_der-rust
async-coap,3239,303,2019-08-21T20:29:14.059272Z,2019-08-21T20:29:14.059272Z,0.1.0,"A flexible, asynchronous library for using and serving CoAP resources. Experimental.",https://github.com/google/rust-async-coap
async-graphql,12855057,2542740,2025-03-20T04:51:09.163335Z,2020-03-03T11:31:03.943275Z,7.0.16,A GraphQL server library implemented in Rust,https://github.com/async-graphql/async-graphql
async-h1,4321712,353508,2023-10-10T05:35:24.711794Z,2019-06-01T16:02:44.361303Z,2.3.4,Asynchronous HTTP 1.1 parser.,https://github.com/http-rs/async-h1
async-nats,2384609,565157,2025-03-24T14:24:41.083720Z,2020-06-17T10:30:33.713492Z,0.40.0,A async Rust NATS client,https://github.com/nats-io/nats.rs
atk,5759928,999333,2024-12-09T11:45:55.239461Z,2019-02-21T16:33:09.497394Z,0.18.2,UNMAINTAINED Rust bindings for the ATK library,https://github.com/gtk-rs/gtk3-rs
atk-sys,6853518,1055237,2024-12-09T11:45:59.322690Z,2015-09-09T19:27:29.057630Z,0.18.2,UNMAINTAINED FFI bindings to libatk-1,https://github.com/gtk-rs/gtk3-rs
atom,891040,28313,2020-10-06T08:15:43.461819Z,2015-04-05T20:41:10.522475Z,0.4.0,A safe abstraction around AtomicPtr,
atomic-option,348699,13205,2016-04-18T08:03:54.756468Z,2015-07-23T23:31:57.587779Z,0.1.2,"An atomic, nullable, owned pointer.",https://github.com/reem/rust-atomic-option.git
atty,194249352,13050717,2020-01-05T22:19:33.123499Z,2015-07-10T00:25:05.224059Z,0.2.14,A simple interface for querying atty,https://github.com/softprops/atty
autorand,9892,992,2021-01-20T03:55:25.912607Z,2019-04-01T00:42:59.187249Z,0.2.3,Automatic random generation for any struct or enum. Make your fuzzing easier!,https://github.com/mersinvald/autorand-rs
av-data,318374,131024,2024-11-18T12:51:38.122194Z,2019-05-04T11:23:37.116130Z,0.4.4,Multimedia data structures,
axum-core,110825745,26896427,2025-03-28T16:28:00.340262Z,2021-08-21T16:52:01.594341Z,0.5.2,Core types and traits for axum,https://github.com/tokio-rs/axum
backoff,38612398,7173221,2021-12-14T21:16:45.606935Z,2017-05-28T08:49:16.062452Z,0.4.0,"Retry operations with exponential backoff policy.
",https://github.com/ihrwein/backoff
badge,73467,2040,2020-07-26T23:22:38.419716Z,2016-08-28T21:22:36.185378Z,0.3.0,Simple badge generator,https://github.com/rust-lang/docs.rs
bam,32726,5020,2021-04-19T21:13:59.126790Z,2019-08-28T16:13:53.706979Z,0.1.4,"Crate that allows to read and write BAM, SAM and BGZIP files, written completely in Rust.",https://gitlab.com/tprodanov/bam
base64,543184867,89921200,2024-04-30T23:16:40.343739Z,2015-12-04T01:07:31.173829Z,0.22.1,encodes and decodes base64 as bytes or utf8,https://github.com/marshallpierce/rust-base64
basic_dsp_matrix,27146,3467,2024-05-24T13:48:07.927207Z,2016-10-17T04:03:21.609334Z,0.10.2,Digital signal processing based on real or complex vectors in time or frequency domain.,https://github.com/liebharc/basic_dsp
bat,1675831,244814,2025-01-07T19:12:09.420395Z,2018-04-22T14:08:25.118286Z,0.25.0,A cat(1) clone with wings.,https://github.com/sharkdp/bat
bcc,203776,10331,2023-10-25T20:01:03.722662Z,2018-02-05T15:27:03.742530Z,0.0.34,Idiomatic Rust bindings for BPF Compiler Collection (BCC),https://github.com/rust-bpf/rust-bcc
bcder,6890294,3952354,2025-01-22T14:19:04.977205Z,2018-10-23T13:52:27.523039Z,0.7.5,"Handling of data encoded in BER, CER, and DER.",https://github.com/nlnetlabs/bcder
beef,20309382,3160384,2022-05-27T09:55:49.490487Z,2020-03-12T15:22:26.231878Z,0.5.2,More compact Cow,https://github.com/maciejhirsz/beef
better-macro,6253,960,2021-01-16T19:19:35.986376Z,2021-01-16T18:48:04.112254Z,1.0.4,This crate provides better versions of common macros like println.,https://github.com/raycar5/better-macro
bigint,764245,39598,2020-05-07T13:12:46.043155Z,2016-12-22T10:47:51.968888Z,4.4.3,DEPRECATED: use uint instead,https://github.com/ethcore/bigint
binjs_io,2664,262,2018-11-22T13:41:44.808514Z,2018-11-22T13:41:44.808514Z,0.2.1,I/O component of the Binary AST reference implementation.,https://github.com/Yoric/binjs-ref
bite,126026,1246,2018-03-25T18:24:56.831579Z,2017-04-23T22:17:21.054339Z,0.0.5,"read and write primitives in little endian, and in big endian.",https://github.com/hinaria/bite
bitvec,91677371,17849131,2022-07-10T03:51:17.388090Z,2018-06-28T06:28:54.134674Z,1.0.1,"Addresses memory by bits, for packed collections and bitfields",https://github.com/bitvecto-rs/bitvec
blake2,48838109,7900202,2025-03-05T21:16:13.296906Z,2016-10-06T21:27:29.446062Z,0.11.0-pre.5,BLAKE2 hash functions,https://github.com/RustCrypto/hashes
block-cipher,2215473,42693,2020-10-25T19:16:07.095637Z,2018-10-30T23:57:03.040653Z,0.99.99,DEPRECATED: replaced by the `cipher` crate,https://github.com/RustCrypto/traits/tree/master/cipher
block-cipher-trait,2111444,22418,2021-08-25T14:27:00.354249Z,2016-12-16T12:42:44.035187Z,0.0.0,DEPRECATED: please switch to the `cipher` crate,https://github.com/RustCrypto/traits/tree/master/cipher
blurhash,169484,38530,2024-07-23T10:43:37.067642Z,2019-07-12T11:30:11.138763Z,0.2.3,A pure Rust implementation of blurhash,https://github.com/whisperfish/blurhash-rs
borsh,42950898,10135797,2025-03-25T10:55:50.325890Z,2019-08-16T23:25:11.928095Z,1.5.7,"Binary Object Representation Serializer for Hashing
",https://github.com/near/borsh-rs
boxfnonce,2355323,30373,2019-02-02T11:08:54.189214Z,2017-02-01T16:14:27.869925Z,0.1.1,safe FnOnce boxing for rust stable,https://github.com/stbuehler/rust-boxfnonce
bra,3197,447,2021-01-03T15:05:45.188156Z,2019-02-26T16:23:24.890051Z,0.1.1,Buffered random access to sequential data sources,https://github.com/Enet4/bra-rs
branca,41172,3715,2022-02-01T08:24:37.608746Z,2018-11-23T14:36:28.145568Z,0.10.1,Authenticated encrypted API tokens for Rust. A secure alternative to JWT.,https://github.com/return/branca
bronzedb-protocol,4427,351,2019-05-30T03:54:10.563303Z,2019-05-30T03:54:10.563303Z,0.1.0,protocol for bronzedb,https://github.com/Hexilee/BronzeDB
brotli-sys,6369039,231443,2017-09-19T18:17:29.521413Z,2016-03-26T02:13:12.296505Z,0.3.2,"Raw bindings to libbrotli
",https://github.com/alexcrichton/brotli2-rs
buffered-reader,622741,119109,2025-02-26T17:40:18.633133Z,2018-11-24T10:17:49.171569Z,1.4.0,A super-powered Reader,https://gitlab.com/sequoia-pgp/sequoia
buffoon,4080,250,2015-12-30T20:17:00.161470Z,2015-12-30T20:17:00.161470Z,0.5.0,Simple Protocol Buffers implementation,https://github.com/carllerche/buffoon
buf_redux,15230396,575780,2019-07-31T18:22:11.723122Z,2016-02-07T11:08:01.020120Z,0.8.4,Drop-in replacements for buffered I/O in `std::io` with extra features.,https://github.com/abonander/buf_redux
bumpalo,161099421,27844891,2025-01-28T17:37:33.332880Z,2018-11-24T06:21:56.420457Z,3.17.0,A fast bump allocation arena for Rust.,https://github.com/fitzgen/bumpalo
bunch,1724,214,2019-07-02T15:31:46.134759Z,2019-07-02T15:31:46.134759Z,0.1.0,"Append-only, concurrent arena",
buttplug,131823,21924,2025-02-09T03:14:40.229908Z,2019-04-12T05:19:00.168129Z,9.0.7,Buttplug Intimate Hardware Control Library,https://github.com/buttplugio/buttplug.git
byte_struct,61083,3144,2023-03-18T14:32:58.354511Z,2019-03-02T02:27:38.143590Z,0.9.0,Pack and unpack structure as raw bytes with packed or bit field layout.,https://github.com/wwylele/byte-struct-rs
bzip2,46712932,9436283,2025-02-28T13:56:50.032083Z,2014-11-13T06:35:38.538844Z,0.5.2,"Bindings to libbzip2 for bzip2 compression and decompression exposed as
Reader/Writer streams.
",https://github.com/trifectatechfoundation/bzip2-rs
cache,10957,1445,2018-08-19T21:40:35.652404Z,2017-09-02T14:29:28.165234Z,0.0.0,"Type agnostic, fixed-size cache",https://github.com/krl/cache
calamine,2440315,406515,2024-10-10T11:51:49.400749Z,2016-11-09T06:02:22.251953Z,0.26.1,An Excel/OpenDocument Spreadsheets reader and deserializer in pure rust,https://github.com/tafia/calamine
candid,2913169,249229,2025-01-22T22:47:55.436846Z,2020-05-14T23:42:22.651296Z,0.10.13,Candid is an interface description language (IDL) for interacting with canisters running on the Internet Computer.,https://github.com/dfinity/candid
capnp,5728584,874160,2025-04-08T00:24:48.892043Z,2014-11-20T19:29:52.135067Z,0.21.0,runtime library for Cap'n Proto data encoding,https://github.com/capnproto/capnproto-rust
cargo-download,44622,7298,2019-02-13T20:09:37.530045Z,2017-11-17T18:06:09.103268Z,0.1.2,Cargo subcommand for downloading crate sources,https://github.com/Xion/cargo-download.git
cassandra,97713,4351,2016-12-13T01:55:19.598297Z,2015-05-11T11:54:24.238692Z,0.8.1,"A usable Cassandra CQL driver (this replaces the previous cql-ffi package).
Wraps the DataStax c++ native driver and uses cql-bindgen via rust-bindgen.
Works with nightly",https://github.com/tupshin/cassandra-rust
cassandra-cpp,91473,8320,2024-06-18T16:36:08.906925Z,2017-06-29T13:05:39.117846Z,3.0.2,"A Cassandra CQL driver, built on top of the DataStax C++ driver for performance and functionality.",https://github.com/cassandra-rs/cassandra-rs
cbox,32125,1973,2016-03-12T16:00:56.105160Z,2015-06-14T12:23:56.676009Z,0.3.0,"C pointer boxing, for when working with ffi",https://github.com/TomBebbington/cbox-rs
cdr,480042,94075,2021-01-24T08:28:30.722093Z,2017-12-22T14:39:04.241253Z,0.2.4,"A serialization/deserialization implementation of Common Data Representation
",https://github.com/hrektts/cdr-rs
cell-project,5780,899,2022-08-08T15:49:47.340064Z,2020-04-30T23:16:29.109837Z,0.1.4,Safe interface for cell projection,https://github.com/KrishnaSannasi/cell-project
cgc,12208,1908,2020-04-29T16:49:58.766655Z,2019-07-26T00:11:39.747881Z,0.4.0,Compacting garbage collector,https://github.com/playXE/cgc
cggmp21,16970,3928,2024-12-13T10:28:56.841303Z,2022-10-06T10:22:57.641752Z,0.6.0,TSS ECDSA implementation based on CGGMP21 paper,https://github.com/LFDT-Lockness/cggmp21
cggmp21-keygen,10474,2795,2024-12-13T10:26:46.582092Z,2024-03-12T14:24:13.667604Z,0.5.0,UC-secure DKG implementation based on CGGMP21 paper,https://github.com/LFDT-Lockness/cggmp21
chacha20,27889271,3755246,2025-01-28T23:06:56.507693Z,2016-10-06T21:11:22.073136Z,0.10.0-pre.3,"The ChaCha20 stream cipher (RFC 8439) implemented in pure Rust using traits
from the RustCrypto `cipher` crate, with optional architecture-specific
hardware acceleration (AVX2, SSE2). Additionally provides the ChaCha8, ChaCha12,
XChaCha20, XChaCha12 and XChaCha8 stream ciphers, and also optional
rand_core-compatible RNGs based on those ciphers.
",https://github.com/RustCrypto/stream-ciphers
chan,479027,18957,2018-08-01T00:23:38.154453Z,2015-07-04T04:51:05.973104Z,0.1.23,DEPRECATED. Use crossbeam-channel instead.,https://github.com/BurntSushi/chan
chrono,273597611,39322524,2025-02-26T08:32:17.218741Z,2014-11-20T04:21:11.545166Z,0.4.40,Date and time library for Rust,https://github.com/chronotope/chrono
chrono-english,483976,83541,2021-12-09T15:20:45.413829Z,2018-03-24T07:53:30.914062Z,0.1.7,"parses simple English dates, inspired by Linux date command",https://github.com/stevedonovan/chrono-english.git
chttp,83422,8385,2019-08-03T23:11:14.996926Z,2017-12-21T23:02:29.271878Z,0.5.5,The practical HTTP client that is fun to use.,https://github.com/sagebind/chttp
chunky,22833,2434,2019-07-02T14:18:51.159177Z,2018-07-05T11:40:28.396529Z,0.3.7,Abstract storage of heterogeneously-sized entity-collections,https://github.com/aeickhoff/chunky
ckb,93551,21367,2025-04-02T13:41:04.359429Z,2018-11-02T06:36:12.059814Z,0.201.0,"CKB is the layer 1 of Nervos Network, a public/permissionless blockchain.",https://github.com/nervosnetwork/ckb
claim,451365,26967,2021-02-04T16:50:55.008584Z,2020-03-07T12:02:17.038629Z,0.5.0,Assertion macros,https://github.com/svartalf/rust-claim
claxon,1736216,177263,2020-08-09T10:45:37.928333Z,2015-02-13T00:01:30.252297Z,0.4.3,A FLAC decoding library,https://github.com/ruuda/claxon
clipboard,1358670,32031,2018-09-22T21:58:38.810943Z,2015-11-30T16:41:49.956039Z,0.5.0,rust-clipboard is a cross-platform library for getting and setting the contents of the OS-level clipboard.,https://github.com/aweinstock314/rust-clipboard
cocoon,101828,10403,2024-09-02T11:00:39.112607Z,2020-07-01T22:19:55.389572Z,0.4.3,A simple protected container with strong encryption and format validation.,https://github.com/fadeevab/cocoon
columnar,76050,41810,2025-03-24T16:42:19.655317Z,2014-12-16T23:20:20.054932Z,0.4.1,Conversion from arrays of complex structs to simple structs of arrays,https://github.com/frankmcsherry/columnar.git
compact_arena,24020,2122,2024-08-26T20:12:09.537587Z,2019-03-22T12:13:44.937436Z,0.5.0,A crate with some types to allow indexed arenas with small memory footprint,https://github.com/llogiq/compact_arena
compu-brotli-sys,12642,1714,2024-03-29T09:40:51.379648Z,2019-05-21T17:19:02.097024Z,1.1.0,Bindings to brotli C library,https://github.com/DoumanAsh/compu-brotli-sys
comrak,1926968,287344,2025-04-05T03:38:27.534583Z,2017-04-07T12:29:13.580833Z,0.38.0,A 100% CommonMark-compatible GitHub Flavored Markdown parser and formatter,https://github.com/kivikakk/comrak
concread,285358,37844,2025-03-18T23:06:05.120548Z,2018-10-20T23:17:34.461548Z,0.5.5,Concurrently Readable Data-Structures for Rust,https://github.com/kanidm/concread/
conduit-hyper,33813,3727,2022-10-30T20:06:51.319965Z,2018-07-18T23:12:08.451189Z,0.4.2,Host a conduit based web application on a hyper server,https://github.com/jtgeibel/conduit-hyper
conquer-once,724354,75230,2023-04-08T20:46:19.005590Z,2019-08-19T20:50:58.540423Z,0.4.0,Synchronization primitives for lazy and one-time initialization,https://github.com/oliver-giersch/conquer-once.git
conqueue,165011,2385,2021-01-24T20:33:32.307907Z,2019-07-30T23:51:01.589305Z,0.4.0,"Yet another multi-producer, single-consumer queue (MPSC)",https://github.com/longshorej/conqueue
conrod,461459,35825,2020-08-03T10:26:19.786092Z,2015-01-22T12:54:18.396062Z,0.62.1,DEPRECATED. See `conrod-core`.,https://github.com/pistondevelopers/conrod.git
conrod_core,195650,16118,2022-01-17T04:32:33.654294Z,2018-12-26T09:56:53.188216Z,0.76.1,"An easy-to-use, 100% Rust, extensible 2D GUI library.",https://github.com/pistondevelopers/conrod.git
const-cstr,2017893,91399,2018-02-10T01:35:36.479365Z,2015-09-28T02:39:22.990010Z,0.3.0,Create static C-compatible strings from Rust string literals.,https://github.com/cybergeek94/const-cstr
containers,52879,5648,2021-11-01T22:52:21.613008Z,2016-05-30T22:09:41.655749Z,0.9.13,Containers,https://github.com/strake/containers.rs
convec,5060,601,2017-10-12T14:38:23.341729Z,2017-10-11T09:10:09.233321Z,2.0.1,Concurrent Vector,https://github.com/krl/convec
cookie,72779389,10542420,2024-03-25T09:39:10.390155Z,2014-11-22T04:01:16.924470Z,0.18.1,"HTTP cookie parsing and cookie jar management. Supports signed and private
(encrypted, authenticated) jars.
",https://github.com/SergioBenitez/cookie-rs
cortex-m-rt,3266194,352130,2024-11-05T01:23:11.985224Z,2017-04-12T05:53:55.024289Z,0.7.5,Minimal runtime / startup for Cortex-M microcontrollers,https://github.com/rust-embedded/cortex-m
cosmos_sdk,10836,1350,2021-08-25T13:28:37.295367Z,2017-08-16T11:28:57.688159Z,0.99.0,DEPRECATED: please switch to the `cosmrs` crate,https://github.com/cosmos/cosmos-rust/tree/main/cosmrs
cosmwasm,28968,3545,2020-03-23T21:06:09.205714Z,2019-10-08T12:11:31.023389Z,0.0.0,Standard library for Wasm based smart contracts on Cosmos blockchains,https://github.com/CosmWasm/cosmwasm/tree/master/packages/std
cosmwasm-std,2253748,388271,2025-03-05T11:04:16.156706Z,2020-05-08T09:36:45.181573Z,2.2.2,Standard library for Wasm based smart contracts on Cosmos blockchains,https://github.com/CosmWasm/cosmwasm/tree/main/packages/std
cosmwasm-vm,414077,62135,2025-03-05T11:04:54.400528Z,2019-10-08T12:14:19.362062Z,2.2.2,VM bindings to run cosmwams contracts,https://github.com/CosmWasm/cosmwasm/tree/main/packages/vm
cpuid-bool,18328907,446461,2021-05-06T23:32:28.057308Z,2020-06-11T18:15:15.849646Z,0.99.99,DEPRECATED: replaced by the `cpufeatures` crate,https://github.com/RustCrypto/utils/tree/master/cpufeatures
cpython,1009383,70516,2024-07-02T17:52:21.565989Z,2015-04-19T14:59:04.086365Z,0.7.2,Bindings to Python,https://github.com/dgrunwald/rust-cpython.git
cranelift-codegen,17651911,2181623,2025-03-20T14:48:36.174208Z,2018-07-13T16:28:34.396845Z,0.118.0,Low-level code generator library,https://github.com/bytecodealliance/wasmtime
crayon,25796,3166,2018-12-14T02:09:39.437591Z,2017-03-07T07:04:17.290425Z,0.7.1,"A small, portable and extensible game framework.",https://github.com/shawnscode/crayon
crossbeam,51489442,5636239,2024-01-08T12:58:18.537533Z,2015-08-27T18:36:48.638047Z,0.8.4,Tools for concurrent programming,https://github.com/crossbeam-rs/crossbeam
crossbeam-channel,220818820,27421609,2024-12-15T15:26:35.399605Z,2017-11-26T19:20:24.266475Z,0.5.14,Multi-producer multi-consumer channels for message passing,https://github.com/crossbeam-rs/crossbeam
crossbeam-deque,220011695,32706211,2024-12-15T15:29:28.168345Z,2017-11-26T18:02:02.212875Z,0.8.6,Concurrent work-stealing deque,https://github.com/crossbeam-rs/crossbeam
crossbeam-queue,110331155,14722181,2024-12-15T15:26:54.563210Z,2018-09-08T19:05:07.396126Z,0.3.12,Concurrent queues,https://github.com/crossbeam-rs/crossbeam
crossbeam-utils,323571408,43565550,2024-12-15T15:26:01.019842Z,2017-08-28T12:20:45.154206Z,0.8.21,Utilities for concurrent programming,https://github.com/crossbeam-rs/crossbeam
crust,270853,15879,2019-06-04T14:33:52.750007Z,2015-04-07T10:27:58.669846Z,0.32.1,Peer-to-peer networking library. Automatically reconnect and manage connections.,https://github.com/maidsafe/crust
crypto2,40457,854,2021-04-17T06:41:44.393361Z,2020-11-20T08:05:08.897366Z,0.1.2,cryptographic algorithms,https://github.com/shadowsocks/crypto2
csv-sniffer,49611,15710,2022-03-20T17:51:19.371399Z,2018-03-23T22:07:26.336470Z,0.3.1,A CSV file format sniffer for Rust,https://github.com/jblondin/csv-sniffer
curve25519-dalek,71871117,12398171,2024-06-18T19:20:35.007627Z,2016-12-08T05:13:57.620503Z,4.1.3,A pure-Rust implementation of group operations on ristretto255 and Curve25519,https://github.com/dalek-cryptography/curve25519-dalek/tree/main/curve25519-dalek
cw0,377030,69283,2021-11-16T18:39:09.136369Z,2020-08-28T22:16:05.093903Z,0.10.3,Common helpers for other cw specs,https://github.com/CosmWasm/cw-plus
cyfs-base,29058,3606,2023-04-13T06:07:42.826706Z,2022-05-31T05:03:15.964742Z,0.6.12,Rust cyfs-base package,
daemonize,4427844,561206,2023-02-25T07:57:03.268345Z,2015-12-20T22:06:49.933429Z,0.5.0,Library to enable your code run as a daemon process on Unix-like systems.,https://github.com/knsd/daemonize
dashmap,110558466,19529428,2025-03-05T17:04:26.384140Z,2019-08-25T18:22:12.397782Z,7.0.0-rc2,Blazing fast concurrent HashMap for Rust.,https://github.com/xacrimon/dashmap
dbn,287512,39665,2025-04-01T20:28:59.864783Z,2023-02-23T00:00:37.829448Z,0.31.0,Library for working with Databento Binary Encoding (DBN),https://github.com/databento/dbn
dces,32296,2518,2022-03-22T11:06:40.091171Z,2018-10-15T10:42:28.382311Z,0.3.1,DCES entity component system,https://gitlab.redox-os.org/redox-os/dces-rust
derivative,87386979,12188328,2021-01-23T17:05:39.339355Z,2016-10-07T23:35:58.354746Z,2.2.0,A set of alternative `derive` attributes for Rust,https://github.com/mcarton/rust-derivative
derive-com-impl,17885,1493,2023-07-25T21:13:01.624366Z,2018-11-11T00:11:48.779034Z,0.2.0,"Procedural macros to help implement COM interfaces from Rust.
",https://github.com/connicpu/com-impl
diesel,14669233,1565126,2025-04-04T11:26:56.727603Z,2015-11-29T17:53:47.748928Z,2.2.9,"A safe, extensible ORM and Query Builder for PostgreSQL, SQLite, and MySQL",https://github.com/diesel-rs/diesel
difference,24628037,1330751,2018-01-23T17:31:55.462599Z,2015-09-19T05:58:42.573289Z,2.0.0,A Rust text diffing and assertion library.,https://github.com/johannhof/difference.rs
